(0, 0) -> (0, 0) -> (1, 0) -> END
(0, 0) -> (0, 3) -> (1, 3) -> END
(0, 0) -> (0, 3) -> (1, 3) -> END
(0, 0) -> (0, 3) -> (1, 3) -> END
(0, 0) -> (0, 3) -> (1, 3) -> END
(0, 0) -> (0, 4) -> (1, 4) -> END
(0, 0) -> (0, 4) -> (1, 4) -> END
(0, 0) -> (0, 4) -> (1, 4) -> END
(0, 0) -> (0, 4) -> (1, 4) -> END
(0, 0) -> (0, 4) -> (1, 4) -> END
(0, 0) -> (0, 4) -> (1, 4) -> END
(0, 0) -> (0, 4) -> (1, 4) -> END
(0, 0) -> (0, 4) -> (1, 4) -> END
(0, 0) -> (0, 4) -> (1, 4) -> END
(0, 0) -> (0, 4) -> (1, 4) -> END
(0, 0) -> (0, 4) -> (1, 4) -> END
(0, 0) -> (0, 4) -> (1, 4) -> END
(0, 0) -> (0, 4) -> (1, 4) -> END
(0, 0) -> (0, 4) -> (1, 4) -> END
(0, 0) -> (0, 4) -> (1, 4) -> END
(0, 0) -> (0, 4) -> (1, 4) -> END
(0, 0) -> (0, 4) -> (1, 4) -> END
(0, 0) -> (0, 4) -> (1, 4) -> END
(0, 0) -> (0, 5) -> (1, 5) -> END
(0, 0) -> (0, 5) -> (1, 5) -> END
(0, 0) -> (0, 5) -> (1, 5) -> END
(0, 0) -> (0, 5) -> (1, 5) -> END
(0, 0) -> (0, 5) -> (1, 5) -> END
(0, 0) -> (0, 5) -> (1, 5) -> END
(0, 0) -> (0, 5) -> (1, 5) -> END
(0, 0) -> (0, 5) -> (1, 5) -> END
(0, 0) -> (0, 5) -> (1, 5) -> END
(0, 0) -> (0, 5) -> (1, 5) -> END
(0, 0) -> (0, 5) -> (1, 5) -> END
(0, 0) -> (0, 5) -> (1, 5) -> END
(0, 0) -> (0, 5) -> (1, 5) -> END
(0, 0) -> (0, 5) -> (1, 5) -> END
(0, 0) -> (0, 5) -> (1, 5) -> END
(0, 0) -> (0, 5) -> (1, 5) -> END
(0, 0) -> (0, 5) -> (1, 5) -> END
(0, 0) -> (0, 5) -> (1, 5) -> END
(0, 0) -> (0, 6) -> (1, 6) -> END
(0, 0) -> (0, 6) -> (1, 6) -> END
(0, 0) -> (0, 6) -> (1, 6) -> END
(0, 0) -> (0, 6) -> (1, 6) -> END
(0, 0) -> (0, 6) -> (1, 6) -> END
(0, 0) -> (0, 6) -> (1, 6) -> END
(0, 0) -> (0, 6) -> (1, 6) -> END
(0, 0) -> (0, 6) -> (1, 6) -> END
(0, 0) -> (0, 6) -> (1, 6) -> END
(0, 0) -> (0, 6) -> (1, 6) -> END
(0, 0) -> (0, 6) -> (1, 6) -> END
(0, 0) -> (0, 6) -> (1, 6) -> END
(0, 0) -> (0, 6) -> (1, 6) -> END
(0, 0) -> (0, 6) -> (1, 6) -> END
(0, 0) -> (0, 6) -> (1, 6) -> END
(0, 0) -> (0, 6) -> (1, 6) -> END
(0, 0) -> (0, 6) -> (1, 6) -> END
(0, 0) -> (0, 6) -> (1, 6) -> END
(0, 0) -> (0, 7) -> (1, 7) -> END
(0, 0) -> (0, 7) -> (1, 7) -> END
(0, 0) -> (0, 7) -> (1, 7) -> END
(0, 0) -> (0, 7) -> (1, 7) -> END
(0, 0) -> (0, 7) -> (1, 7) -> END
(0, 0) -> (0, 7) -> (1, 7) -> END
(0, 0) -> (0, 7) -> (1, 7) -> END
(0, 0) -> (0, 7) -> (1, 7) -> END
(0, 0) -> (0, 7) -> (1, 7) -> END
(0, 0) -> (0, 7) -> (1, 7) -> END
(0, 0) -> (0, 7) -> (1, 7) -> END
(0, 0) -> (0, 7) -> (1, 7) -> END
(0, 0) -> (0, 7) -> (1, 7) -> END
(0, 0) -> (0, 7) -> (1, 7) -> END
(0, 0) -> (0, 7) -> (1, 7) -> END
(0, 0) -> (0, 7) -> (1, 7) -> END
(0, 0) -> (0, 7) -> (1, 7) -> END
(0, 0) -> (0, 7) -> (1, 7) -> END
(0, 0) -> (0, 8) -> (1, 8) -> END
(0, 0) -> (0, 8) -> (1, 8) -> END
(0, 0) -> (0, 8) -> (1, 8) -> END
(0, 0) -> (0, 8) -> (1, 8) -> END
(0, 0) -> (0, 8) -> (1, 8) -> END
(0, 0) -> (0, 8) -> (1, 8) -> END
(0, 0) -> (0, 8) -> (1, 8) -> END
(0, 0) -> (0, 8) -> (1, 8) -> END
(0, 0) -> (0, 8) -> (1, 8) -> END
(0, 0) -> (0, 8) -> (1, 8) -> END
(0, 0) -> (0, 8) -> (1, 8) -> END
(0, 0) -> (0, 8) -> (1, 8) -> END
(0, 0) -> (0, 8) -> (1, 8) -> END
(0, 0) -> (0, 8) -> (1, 8) -> END
(0, 0) -> (0, 8) -> (1, 8) -> END
(0, 0) -> (0, 8) -> (1, 8) -> END
(0, 0) -> (0, 8) -> (1, 8) -> END
(0, 0) -> (0, 8) -> (1, 8) -> END
(0, 0) -> (0, 9) -> (1, 9) -> END
(0, 0) -> (0, 9) -> (1, 9) -> END
(0, 0) -> (0, 9) -> (1, 9) -> END
(0, 0) -> (0, 9) -> (1, 9) -> END
(0, 0) -> (0, 9) -> (1, 9) -> END
(0, 0) -> (0, 9) -> (1, 9) -> END
(0, 0) -> (0, 9) -> (1, 9) -> END
(0, 0) -> (0, 9) -> (1, 9) -> END
(0, 0) -> (0, 9) -> (1, 9) -> END
(0, 0) -> (0, 9) -> (1, 9) -> END
(0, 0) -> (0, 9) -> (1, 9) -> END
(0, 0) -> (0, 9) -> (1, 9) -> END
(0, 0) -> (0, 9) -> (1, 9) -> END
(0, 0) -> (0, 9) -> (1, 9) -> END
(0, 0) -> (0, 9) -> (1, 9) -> END
(0, 0) -> (0, 9) -> (1, 9) -> END
(0, 0) -> (0, 9) -> (1, 9) -> END
(0, 0) -> (0, 9) -> (1, 9) -> END
(0, 0) -> (0, 10) -> (1, 10) -> END
(0, 0) -> (0, 10) -> (1, 10) -> END
(0, 0) -> (0, 10) -> (1, 10) -> END
(0, 0) -> (0, 10) -> (1, 10) -> END
(0, 0) -> (0, 10) -> (1, 10) -> END
(0, 0) -> (0, 10) -> (1, 10) -> END
(0, 0) -> (0, 10) -> (1, 10) -> END
(0, 0) -> (0, 10) -> (1, 10) -> END
(0, 0) -> (0, 10) -> (1, 10) -> END
(0, 0) -> (0, 10) -> (1, 10) -> END
(0, 0) -> (0, 10) -> (1, 10) -> END
(0, 0) -> (0, 10) -> (1, 10) -> END
(0, 0) -> (0, 10) -> (1, 10) -> END
(0, 0) -> (0, 10) -> (1, 10) -> END
(0, 0) -> (0, 10) -> (1, 10) -> END
(0, 0) -> (0, 10) -> (1, 10) -> END
(0, 0) -> (0, 10) -> (1, 10) -> END
(0, 0) -> (0, 10) -> (1, 10) -> END
(0, 0) -> (0, 11) -> (1, 11) -> END
(0, 0) -> (0, 11) -> (1, 11) -> END
(0, 0) -> (0, 11) -> (1, 11) -> END
(0, 0) -> (0, 11) -> (1, 11) -> END
(0, 0) -> (0, 11) -> (1, 11) -> END
(0, 0) -> (0, 11) -> (1, 11) -> END
(0, 0) -> (0, 11) -> (1, 11) -> END
(0, 0) -> (0, 11) -> (1, 11) -> END
(0, 0) -> (0, 11) -> (1, 11) -> END
(0, 0) -> (0, 11) -> (1, 11) -> END
(0, 0) -> (0, 11) -> (1, 11) -> END
(0, 0) -> (0, 11) -> (1, 11) -> END
(0, 0) -> (0, 11) -> (1, 11) -> END
(0, 0) -> (0, 11) -> (1, 11) -> END
(0, 0) -> (0, 11) -> (1, 11) -> END
(0, 0) -> (0, 11) -> (1, 11) -> END
(0, 0) -> (0, 11) -> (1, 11) -> END
(0, 0) -> (0, 11) -> (1, 11) -> END
(0, 0) -> (0, 12) -> (1, 12) -> END
(0, 0) -> (0, 12) -> (1, 12) -> END
(0, 0) -> (0, 12) -> (1, 12) -> END
(0, 0) -> (0, 12) -> (1, 12) -> END
(0, 0) -> (0, 12) -> (1, 12) -> END
(0, 0) -> (0, 12) -> (1, 12) -> END
(0, 0) -> (0, 12) -> (1, 12) -> END
(0, 0) -> (0, 12) -> (1, 12) -> END
(0, 0) -> (0, 12) -> (1, 12) -> END
(0, 0) -> (0, 12) -> (1, 12) -> END
(0, 0) -> (0, 12) -> (1, 12) -> END
(0, 0) -> (0, 12) -> (1, 12) -> END
(0, 0) -> (0, 12) -> (1, 12) -> END
(0, 0) -> (0, 12) -> (1, 12) -> END
(0, 0) -> (0, 12) -> (1, 12) -> END
(0, 0) -> (0, 12) -> (1, 12) -> END
(0, 0) -> (0, 12) -> (1, 12) -> END
(0, 0) -> (0, 12) -> (1, 12) -> END
(0, 0) -> (0, 13) -> (1, 13) -> END
(0, 0) -> (0, 13) -> (1, 13) -> END
(0, 0) -> (0, 13) -> (1, 13) -> END
(0, 0) -> (0, 13) -> (1, 13) -> END
(0, 0) -> (0, 13) -> (1, 13) -> END
(0, 0) -> (0, 13) -> (1, 13) -> END
(0, 0) -> (0, 13) -> (1, 13) -> END
(0, 0) -> (0, 13) -> (1, 13) -> END
(0, 0) -> (0, 13) -> (1, 13) -> END
(0, 0) -> (0, 13) -> (1, 13) -> END
(0, 0) -> (0, 13) -> (1, 13) -> END
(0, 0) -> (0, 13) -> (1, 13) -> END
(0, 0) -> (0, 13) -> (1, 13) -> END
(0, 0) -> (0, 13) -> (1, 13) -> END
(0, 0) -> (0, 13) -> (1, 13) -> END
(0, 0) -> (0, 13) -> (1, 13) -> END
(0, 0) -> (0, 13) -> (1, 13) -> END
(0, 0) -> (0, 13) -> (1, 13) -> END
(0, 0) -> (0, 14) -> (1, 14) -> END
(0, 0) -> (0, 14) -> (1, 14) -> END
(0, 0) -> (0, 14) -> (1, 14) -> END
(0, 0) -> (0, 14) -> (1, 14) -> END
(0, 0) -> (0, 14) -> (1, 14) -> END
(0, 0) -> (0, 14) -> (1, 14) -> END
(0, 0) -> (0, 14) -> (1, 14) -> END
(0, 0) -> (0, 14) -> (1, 14) -> END
(0, 0) -> (0, 14) -> (1, 14) -> END
(0, 0) -> (0, 14) -> (1, 14) -> END
(0, 0) -> (0, 14) -> (1, 14) -> END
(0, 0) -> (0, 14) -> (1, 14) -> END
(0, 0) -> (0, 14) -> (1, 14) -> END
(0, 0) -> (0, 14) -> (1, 14) -> END
(0, 0) -> (0, 14) -> (1, 14) -> END
(0, 0) -> (0, 14) -> (1, 14) -> END
(0, 0) -> (0, 14) -> (1, 14) -> END
(0, 0) -> (0, 14) -> (1, 14) -> END
(0, 0) -> (0, 15) -> (1, 15) -> END
(0, 0) -> (0, 15) -> (1, 15) -> END
(0, 0) -> (0, 15) -> (1, 15) -> END
(0, 0) -> (0, 15) -> (1, 15) -> END
(0, 0) -> (0, 15) -> (1, 15) -> END
(0, 0) -> (0, 15) -> (1, 15) -> END
(0, 0) -> (0, 15) -> (1, 15) -> END
(0, 0) -> (0, 15) -> (1, 15) -> END
(0, 0) -> (0, 15) -> (1, 15) -> END
(0, 0) -> (0, 15) -> (1, 15) -> END
(0, 0) -> (0, 15) -> (1, 15) -> END
(0, 0) -> (0, 15) -> (1, 15) -> END
(0, 0) -> (0, 15) -> (1, 15) -> END
(0, 0) -> (0, 15) -> (1, 15) -> END
(0, 0) -> (0, 15) -> (1, 15) -> END
(0, 0) -> (0, 15) -> (1, 15) -> END
(0, 0) -> (0, 15) -> (1, 15) -> END
(0, 0) -> (0, 15) -> (1, 15) -> END
(0, 0) -> (0, 16) -> (1, 16) -> END
(0, 0) -> (0, 16) -> (1, 16) -> END
(0, 0) -> (0, 16) -> (1, 16) -> END
(0, 0) -> (0, 16) -> (1, 16) -> END
(0, 0) -> (0, 16) -> (1, 16) -> END
(0, 0) -> (0, 16) -> (1, 16) -> END
(0, 0) -> (0, 16) -> (1, 16) -> END
(0, 0) -> (0, 16) -> (1, 16) -> END
(0, 0) -> (0, 16) -> (1, 16) -> END
(0, 0) -> (0, 16) -> (1, 16) -> END
(0, 0) -> (0, 16) -> (1, 16) -> END
(0, 0) -> (0, 16) -> (1, 16) -> END
(0, 0) -> (0, 16) -> (1, 16) -> END
(0, 0) -> (0, 16) -> (1, 16) -> END
(0, 0) -> (0, 16) -> (1, 16) -> END
(0, 0) -> (0, 16) -> (1, 16) -> END
(0, 0) -> (0, 16) -> (1, 16) -> END
(0, 0) -> (0, 16) -> (1, 16) -> END
(0, 0) -> (0, 17) -> (1, 17) -> END
(0, 0) -> (0, 17) -> (1, 17) -> END
(0, 0) -> (0, 17) -> (1, 17) -> END
(0, 0) -> (0, 17) -> (1, 17) -> END
(0, 0) -> (0, 17) -> (1, 17) -> END
(0, 0) -> (0, 17) -> (1, 17) -> END
(0, 0) -> (0, 17) -> (1, 17) -> END
(0, 0) -> (0, 17) -> (1, 17) -> END
(0, 0) -> (0, 17) -> (1, 17) -> END
(0, 0) -> (0, 17) -> (1, 17) -> END
(0, 0) -> (0, 17) -> (1, 17) -> END
(0, 0) -> (0, 17) -> (1, 17) -> END
(0, 0) -> (0, 17) -> (1, 17) -> END
(0, 0) -> (0, 17) -> (1, 17) -> END
(0, 0) -> (0, 17) -> (1, 17) -> END
(0, 0) -> (0, 17) -> (1, 17) -> END
(0, 0) -> (0, 17) -> (1, 17) -> END
(0, 0) -> (0, 17) -> (1, 17) -> END
(1, 0) -> (1, 0) -> (0, 0) -> END
(1, 0) -> (1, 0) -> (0, 0) -> END
(1, 0) -> (1, 0) -> (0, 0) -> END
(1, 0) -> (1, 0) -> (0, 0) -> END
(1, 0) -> (1, 0) -> (0, 0) -> END
(1, 0) -> (1, 0) -> (0, 0) -> END
(1, 0) -> (1, 0) -> (0, 0) -> END
(1, 0) -> (1, 0) -> (0, 0) -> END
(1, 0) -> (1, 0) -> (0, 0) -> END
(1, 0) -> (1, 0) -> (0, 0) -> END
(1, 0) -> (1, 0) -> (0, 0) -> END
(1, 0) -> (1, 0) -> (0, 0) -> END
(1, 0) -> (1, 0) -> (0, 0) -> END
(1, 0) -> (1, 0) -> (0, 0) -> END
(1, 0) -> (1, 0) -> (0, 0) -> END
(1, 0) -> (1, 0) -> (0, 0) -> END
(1, 0) -> (1, 0) -> (0, 0) -> END
(1, 0) -> (1, 0) -> (0, 0) -> END
(1, 0) -> (1, 1) -> (0, 1) -> END
(1, 0) -> (1, 1) -> (0, 1) -> END
(1, 0) -> (1, 1) -> (0, 1) -> END
(1, 0) -> (1, 1) -> (0, 1) -> END
(1, 0) -> (1, 1) -> (0, 1) -> END
(1, 0) -> (1, 1) -> (0, 1) -> END
(1, 0) -> (1, 1) -> (0, 1) -> END
(1, 0) -> (1, 1) -> (0, 1) -> END
(1, 0) -> (1, 1) -> (0, 1) -> END
(1, 0) -> (1, 1) -> (0, 1) -> END
(1, 0) -> (1, 1) -> (0, 1) -> END
(1, 0) -> (1, 1) -> (0, 1) -> END
(1, 0) -> (1, 1) -> (0, 1) -> END
(1, 0) -> (1, 1) -> (0, 1) -> END
(1, 0) -> (1, 1) -> (0, 1) -> END
(1, 0) -> (1, 1) -> (0, 1) -> END
(1, 0) -> (1, 1) -> (0, 1) -> END
(1, 0) -> (1, 1) -> (0, 1) -> END
(1, 0) -> (1, 2) -> (0, 2) -> END
(1, 0) -> (1, 2) -> (0, 2) -> END
(1, 0) -> (1, 2) -> (0, 2) -> END
(1, 0) -> (1, 2) -> (0, 2) -> END
(1, 0) -> (1, 2) -> (0, 2) -> END
(1, 0) -> (1, 2) -> (0, 2) -> END
(1, 0) -> (1, 2) -> (0, 2) -> END
(1, 0) -> (1, 2) -> (0, 2) -> END
(1, 0) -> (1, 2) -> (0, 2) -> END
(1, 0) -> (1, 2) -> (0, 2) -> END
(1, 0) -> (1, 2) -> (0, 2) -> END
(1, 0) -> (1, 2) -> (0, 2) -> END
(1, 0) -> (1, 2) -> (0, 2) -> END
(1, 0) -> (1, 2) -> (0, 2) -> END
(1, 0) -> (1, 2) -> (0, 2) -> END
(1, 0) -> (1, 2) -> (0, 2) -> END
(1, 0) -> (1, 2) -> (0, 2) -> END
(1, 0) -> (1, 2) -> (0, 2) -> END
(1, 0) -> (1, 3) -> (0, 3) -> END
(1, 0) -> (1, 3) -> (0, 3) -> END
(1, 0) -> (1, 3) -> (0, 3) -> END
(1, 0) -> (1, 3) -> (0, 3) -> END
(1, 0) -> (1, 3) -> (0, 3) -> END
(1, 0) -> (1, 3) -> (0, 3) -> END
(1, 0) -> (1, 3) -> (0, 3) -> END
(1, 0) -> (1, 3) -> (0, 3) -> END
(1, 0) -> (1, 3) -> (0, 3) -> END
(1, 0) -> (1, 3) -> (0, 3) -> END
(1, 0) -> (1, 3) -> (0, 3) -> END
(1, 0) -> (1, 3) -> (0, 3) -> END
(1, 0) -> (1, 3) -> (0, 3) -> END
(1, 0) -> (1, 3) -> (0, 3) -> END
(1, 0) -> (1, 3) -> (0, 3) -> END
(1, 0) -> (1, 3) -> (0, 3) -> END
(1, 0) -> (1, 3) -> (0, 3) -> END
(1, 0) -> (1, 3) -> (0, 3) -> END
(1, 0) -> (1, 4) -> (0, 4) -> END
(1, 0) -> (1, 4) -> (0, 4) -> END
(1, 0) -> (1, 4) -> (0, 4) -> END
(1, 0) -> (1, 4) -> (0, 4) -> END
(1, 0) -> (1, 4) -> (0, 4) -> END
(1, 0) -> (1, 4) -> (0, 4) -> END
(1, 0) -> (1, 4) -> (0, 4) -> END
(1, 0) -> (1, 4) -> (0, 4) -> END
(1, 0) -> (1, 4) -> (0, 4) -> END
(1, 0) -> (1, 4) -> (0, 4) -> END
(1, 0) -> (1, 4) -> (0, 4) -> END
(1, 0) -> (1, 4) -> (0, 4) -> END
(1, 0) -> (1, 4) -> (0, 4) -> END
(1, 0) -> (1, 4) -> (0, 4) -> END
(1, 0) -> (1, 4) -> (0, 4) -> END
(1, 0) -> (1, 4) -> (0, 4) -> END
(1, 0) -> (1, 4) -> (0, 4) -> END
(1, 0) -> (1, 4) -> (0, 4) -> END
(1, 0) -> (1, 5) -> (0, 5) -> END
(1, 0) -> (1, 5) -> (0, 5) -> END
(1, 0) -> (1, 5) -> (0, 5) -> END
(1, 0) -> (1, 5) -> (0, 5) -> END
(1, 0) -> (1, 5) -> (0, 5) -> END
(1, 0) -> (1, 5) -> (0, 5) -> END
(1, 0) -> (1, 5) -> (0, 5) -> END
(1, 0) -> (1, 5) -> (0, 5) -> END
(1, 0) -> (1, 5) -> (0, 5) -> END
(1, 0) -> (1, 5) -> (0, 5) -> END
(1, 0) -> (1, 5) -> (0, 5) -> END
(1, 0) -> (1, 5) -> (0, 5) -> END
(1, 0) -> (1, 5) -> (0, 5) -> END
(1, 0) -> (1, 5) -> (0, 5) -> END
(1, 0) -> (1, 5) -> (0, 5) -> END
(1, 0) -> (1, 5) -> (0, 5) -> END
(1, 0) -> (1, 5) -> (0, 5) -> END
(1, 0) -> (1, 5) -> (0, 5) -> END
(1, 0) -> (1, 6) -> (0, 6) -> END
(1, 0) -> (1, 6) -> (0, 6) -> END
(1, 0) -> (1, 6) -> (0, 6) -> END
(1, 0) -> (1, 6) -> (0, 6) -> END
(1, 0) -> (1, 6) -> (0, 6) -> END
(1, 0) -> (1, 6) -> (0, 6) -> END
(1, 0) -> (1, 6) -> (0, 6) -> END
(1, 0) -> (1, 6) -> (0, 6) -> END
(1, 0) -> (1, 6) -> (0, 6) -> END
(1, 0) -> (1, 6) -> (0, 6) -> END
(1, 0) -> (1, 6) -> (0, 6) -> END
(1, 0) -> (1, 6) -> (0, 6) -> END
(1, 0) -> (1, 6) -> (0, 6) -> END
(1, 0) -> (1, 6) -> (0, 6) -> END
(1, 0) -> (1, 6) -> (0, 6) -> END
(1, 0) -> (1, 6) -> (0, 6) -> END
(1, 0) -> (1, 6) -> (0, 6) -> END
(1, 0) -> (1, 6) -> (0, 6) -> END
(1, 0) -> (1, 7) -> (0, 7) -> END
(1, 0) -> (1, 7) -> (0, 7) -> END
(1, 0) -> (1, 7) -> (0, 7) -> END
(1, 0) -> (1, 7) -> (0, 7) -> END
(1, 0) -> (1, 7) -> (0, 7) -> END
(1, 0) -> (1, 7) -> (0, 7) -> END
(1, 0) -> (1, 7) -> (0, 7) -> END
(1, 0) -> (1, 7) -> (0, 7) -> END
(1, 0) -> (1, 7) -> (0, 7) -> END
(1, 0) -> (1, 7) -> (0, 7) -> END
(1, 0) -> (1, 7) -> (0, 7) -> END
(1, 0) -> (1, 7) -> (0, 7) -> END
(1, 0) -> (1, 7) -> (0, 7) -> END
(1, 0) -> (1, 7) -> (0, 7) -> END
(1, 0) -> (1, 7) -> (0, 7) -> END
(1, 0) -> (1, 7) -> (0, 7) -> END
(1, 0) -> (1, 7) -> (0, 7) -> END
(1, 0) -> (1, 7) -> (0, 7) -> END
(1, 0) -> (1, 8) -> (0, 8) -> END
(1, 0) -> (1, 8) -> (0, 8) -> END
(1, 0) -> (1, 8) -> (0, 8) -> END
(1, 0) -> (1, 8) -> (0, 8) -> END
(1, 0) -> (1, 8) -> (0, 8) -> END
(1, 0) -> (1, 8) -> (0, 8) -> END
(1, 0) -> (1, 8) -> (0, 8) -> END
(1, 0) -> (1, 8) -> (0, 8) -> END
(1, 0) -> (1, 8) -> (0, 8) -> END
(1, 0) -> (1, 8) -> (0, 8) -> END
(1, 0) -> (1, 8) -> (0, 8) -> END
(1, 0) -> (1, 8) -> (0, 8) -> END
(1, 0) -> (1, 8) -> (0, 8) -> END
(1, 0) -> (1, 8) -> (0, 8) -> END
(1, 0) -> (1, 8) -> (0, 8) -> END
(1, 0) -> (1, 8) -> (0, 8) -> END
(1, 0) -> (1, 8) -> (0, 8) -> END
(1, 0) -> (1, 8) -> (0, 8) -> END
(1, 0) -> (1, 9) -> (0, 9) -> END
(1, 0) -> (1, 9) -> (0, 9) -> END
(1, 0) -> (1, 9) -> (0, 9) -> END
(1, 0) -> (1, 9) -> (0, 9) -> END
(1, 0) -> (1, 9) -> (0, 9) -> END
(1, 0) -> (1, 9) -> (0, 9) -> END
(1, 0) -> (1, 9) -> (0, 9) -> END
(1, 0) -> (1, 9) -> (0, 9) -> END
(1, 0) -> (1, 9) -> (0, 9) -> END
(1, 0) -> (1, 9) -> (0, 9) -> END
(1, 0) -> (1, 9) -> (0, 9) -> END
(1, 0) -> (1, 9) -> (0, 9) -> END
(1, 0) -> (1, 9) -> (0, 9) -> END
(1, 0) -> (1, 9) -> (0, 9) -> END
(1, 0) -> (1, 9) -> (0, 9) -> END
(1, 0) -> (1, 9) -> (0, 9) -> END
(1, 0) -> (1, 9) -> (0, 9) -> END
(1, 0) -> (1, 9) -> (0, 9) -> END
(1, 0) -> (1, 10) -> (0, 10) -> END
(1, 0) -> (1, 10) -> (0, 10) -> END
(1, 0) -> (1, 10) -> (0, 10) -> END
(1, 0) -> (1, 10) -> (0, 10) -> END
(1, 0) -> (1, 10) -> (0, 10) -> END
(1, 0) -> (1, 10) -> (0, 10) -> END
(1, 0) -> (1, 10) -> (0, 10) -> END
(1, 0) -> (1, 10) -> (0, 10) -> END
(1, 0) -> (1, 10) -> (0, 10) -> END
(1, 0) -> (1, 10) -> (0, 10) -> END
(1, 0) -> (1, 10) -> (0, 10) -> END
(1, 0) -> (1, 10) -> (0, 10) -> END
(1, 0) -> (1, 10) -> (0, 10) -> END
(1, 0) -> (1, 10) -> (0, 10) -> END
(1, 0) -> (1, 10) -> (0, 10) -> END
(1, 0) -> (1, 10) -> (0, 10) -> END
(1, 0) -> (1, 10) -> (0, 10) -> END
(1, 0) -> (1, 10) -> (0, 10) -> END
(1, 0) -> (1, 11) -> (0, 11) -> END
(1, 0) -> (1, 11) -> (0, 11) -> END
(1, 0) -> (1, 11) -> (0, 11) -> END
(1, 0) -> (1, 11) -> (0, 11) -> END
(1, 0) -> (1, 11) -> (0, 11) -> END
(1, 0) -> (1, 11) -> (0, 11) -> END
(1, 0) -> (1, 11) -> (0, 11) -> END
(1, 0) -> (1, 11) -> (0, 11) -> END
(1, 0) -> (1, 11) -> (0, 11) -> END
(1, 0) -> (1, 11) -> (0, 11) -> END
(1, 0) -> (1, 11) -> (0, 11) -> END
(1, 0) -> (1, 11) -> (0, 11) -> END
(1, 0) -> (1, 11) -> (0, 11) -> END
(1, 0) -> (1, 11) -> (0, 11) -> END
(1, 0) -> (1, 11) -> (0, 11) -> END
